date,day_of_week,week_label,source_file,space_type,lot_type,location,time_of_day,available_spaces
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,Structure,8980,8:00 AM,23
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,Structure,8980,10:00 AM,18
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,Structure,8980,12:00 PM,21
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,Structure,8980,2:00 PM,18
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Athena,8:00 AM,177
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Athena,10:00 AM,143
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Athena,12:00 PM,101
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Athena,2:00 PM,102
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Campus Point East,8:00 AM,117
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Campus Point East,10:00 AM,42
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Campus Point East,12:00 PM,11
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Campus Point East,2:00 PM,12
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Campus Point West,8:00 AM,1
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Campus Point West,10:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Campus Point West,12:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Campus Point West,2:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Gilman,8:00 AM,172
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Gilman,10:00 AM,134
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Gilman,12:00 PM,88
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Gilman,2:00 PM,112
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Hopkins,8:00 AM,121
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Hopkins,10:00 AM,90
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Hopkins,12:00 PM,77
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Hopkins,2:00 PM,84
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Pangea,8:00 AM,67
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Pangea,10:00 AM,52
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Pangea,12:00 PM,44
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Pangea,2:00 PM,35
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Scholars,8:00 AM,246
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Scholars,10:00 AM,219
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Scholars,12:00 PM,187
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,Scholars,2:00 PM,197
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,South,8:00 AM,384
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,South,10:00 AM,203
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,South,12:00 PM,197
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,South,2:00 PM,228
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,TDLLN,8:00 AM,205
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,TDLLN,10:00 AM,162
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,TDLLN,12:00 PM,89
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,TDLLN,2:00 PM,111
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,Surface Lot,P201,8:00 AM,5
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,Surface Lot,P201,10:00 AM,1
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,Surface Lot,P201,12:00 PM,1
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,Surface Lot,P201,2:00 PM,9
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P206,8:00 AM,16
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P206,10:00 AM,5
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P206,12:00 PM,7
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P206,2:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P351,8:00 AM,19
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P351,10:00 AM,12
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P351,12:00 PM,12
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P351,2:00 PM,13
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P414,8:00 AM,1
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P414,10:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P414,12:00 PM,3
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P414,2:00 PM,3
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P503,8:00 AM,1
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P503,10:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P503,12:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P503,2:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P506,8:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P506,10:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P506,12:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P506,2:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P508,8:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P508,10:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P508,12:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P508,2:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P510,8:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P510,10:00 AM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P510,12:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P510,2:00 PM,0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P602,8:00 AM,24
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P602,10:00 AM,14
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P602,12:00 PM,20
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,,P602,2:00 PM,17
