date,day_of_week,week_label,source_file,space_type,lot_type,location,time_of_day,available_spaces,capacity,occupied,occupancy_rate
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,Structure,8980,8:00 AM,23,206.0,183.0,0.8883495145631068
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,Structure,8980,10:00 AM,18,206.0,188.0,0.912621359223301
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,Structure,8980,12:00 PM,21,206.0,185.0,0.8980582524271845
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,A,Structure,8980,2:00 PM,18,206.0,188.0,0.912621359223301
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,Structure,8980,8:00 AM,16,206.0,190.0,0.9223300970873787
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,Structure,8980,10:00 AM,13,206.0,193.0,0.9368932038834952
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,Structure,8980,12:00 PM,10,206.0,196.0,0.9514563106796117
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,B,Structure,8980,2:00 PM,9,206.0,197.0,0.9563106796116505
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,S,Structure,8980,8:00 AM,52,206.0,154.0,0.7475728155339806
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,S,Structure,8980,10:00 AM,52,206.0,154.0,0.7475728155339806
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,S,Structure,8980,12:00 PM,50,206.0,156.0,0.7572815533980582
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,S,Structure,8980,2:00 PM,52,206.0,154.0,0.7475728155339806
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,SR,Structure,Hopkins,8:00 AM,19,1427.0,1408.0,0.9866853538892782
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,SR,Structure,Hopkins,10:00 AM,2,1427.0,1425.0,0.9985984583041345
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,SR,Structure,Hopkins,12:00 PM,0,1427.0,1427.0,1.0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,SR,Structure,Hopkins,2:00 PM,0,1427.0,1427.0,1.0
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,Visitor,Structure,8980,8:00 AM,39,206.0,167.0,0.8106796116504854
2025-09-26,Friday,Week0,Parking_Occupancy_Fall_2025_Week0_Friday.csv,Visitor,Structure,8980,10:00 AM,38,206.0,168.0,0.8155339805825242
